Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
1,Zach Cunningham,HOU,26,LILB,16,16,0,0,0,0,2,1,0,0,0,0,3,164,106,58,7,4,,CunnZa00
2,Roquan Smith,CHI,23,LILB,16,16,2,16,0,11,7,1,1,1,0,0,4,139,98,41,18,6,,SmitRo07
3,Devin White,TAM,22,LILB,15,15,0,0,0,0,4,1,0,1,2,0,9,140,97,43,15,16,,WhitDe02
4,Neville Hewitt,NYJ,27,RILB,16,16,0,0,0,0,4,1,0,1,17,0,2,134,91,43,6,4,,HewiNe00
5,Jordan Poyer,BUF,29,SS,16,16,2,14,0,14,5,2,0,0,0,0,2,124,91,33,4,4,,PoyeJo00
6,Budda Baker*+,ARI,24,SS,15,15,2,90,0,90,6,1,0,0,0,0,2,118,90,28,7,3,,BakeBu00
7,Jaylon Smith,DAL,25,RLB,16,16,1,43,0,43,5,0,0,2,21,0,1.5,154,89,65,5,4,,SmitJa05
8,Malcolm Butler,TEN,30,RCB,16,16,4,111,0,68,14,,,,,0,0,100,86,14,1,0,,ButlMa01
9,Shaquille Leonard*+,IND,25,LLB,14,14,0,0,0,0,7,3,1,2,3,0,3,132,86,46,7,3,,LeonDa00
10,Blake Martinez,NYG,26,LILB,16,16,1,2,0,2,5,2,0,1,0,0,3,151,86,65,9,6,,MartBl01
11,Joe Schobert,JAX,27,MLB,16,16,3,45,1,43,4,2,0,0,0,0,2.5,141,84,57,6,6,,SchoJo00
12,Lavonte David,TAM,30,RILB,16,16,1,-5,0,-5,6,3,0,2,0,0,1.5,117,82,35,12,3,,DaviLa00
13,Bobby Wagner*+,SEA,30,RILB,16,16,0,0,0,0,8,0,0,1,0,0,3,138,81,57,7,11,,WagnBo00
14,Kevin Byard,TEN,27,FS,16,16,1,0,0,0,7,1,0,0,0,0,0,111,79,32,1,1,,ByarKe01
15,Fred Warner*+,SFO,24,MLB,16,16,2,3,0,3,6,1,0,2,0,0,1,125,79,46,5,7,,WarnFr00
16,Jessie Bates III,CIN,23,FS,16,16,3,12,0,12,15,1,0,0,0,0,0,109,78,31,2,1,,BateJe00
17,Jordan Hicks,ARI,28,RILB,16,16,1,6,0,6,4,,,,,0,0,118,78,40,11,1,,HickJo00
18,Foyesade Oluokun,ATL,25,MLB,15,14,2,65,0,51,4,4,1,1,0,0,3,117,78,39,4,9,,OluoFo00
19,Tremaine Edmunds*,BUF,22,MLB,15,15,0,0,0,0,3,,,,,0,2,119,77,42,4,3,,EdmuTr01
20,Justin Simmons*,DEN,27,FS,16,16,5,90,0,46,9,0,0,1,18,0,0,96,77,19,3,0,,SimmJu00
21,Tyrell Adams,HOU,28,RILB,16,12,0,0,0,0,4,2,0,1,0,0,2,125,76,49,5,3,,AdamTy00
22,Keanu Neal,ATL,25,FS,15,14,1,0,0,0,2,0,0,1,0,0,1,100,76,24,9,3,,NealKe01
23,Adrian Phillips,NWE,28,SS,16,16,2,5,0,5,4,,,,,0,1,109,76,33,7,1,,PhilAd00
24,Alex Singleton,PHI,27,LLB,16,11,1,30,1,30,1,0,0,2,1,0,2,120,75,45,5,7,,SingAl00
25,Demario Davis,NOR,31,MLB,16,16,0,0,0,0,5,,,,,0,4,119,73,46,10,12,,DaviDe00
26,John Johnson,LAR,25,FS,16,16,1,0,0,0,8,,,,,0,0,105,73,32,2,0,,JohnJo10
27,Deion Jones,ATL,26,LLB,16,16,2,84,1,67,6,1,0,1,0,0,4.5,106,73,33,9,10,,JoneDe01
28,Avery Williamson,2TM,28,LB/LILB,15,10,1,21,0,21,3,,,,,0,1,111,73,38,3,2,,WillAv00
29,Myles Jack,JAX,25,LLB,14,14,1,0,0,0,5,1,0,2,16,0,1,118,72,46,6,2,,JackMy00
30,Alexander Johnson,DEN,29,LILB,16,16,0,0,0,0,2,2,0,0,0,0,1,124,72,52,4,5,,JohnAl01
31,Jerome Baker,MIA,24,RILB,16,11,0,0,0,0,3,2,0,0,0,0,7,112,70,42,7,11,,BakeJe00
32,Marlon Humphrey*,BAL,24,LCB,15,15,1,8,0,8,11,8,0,0,0,0,2.5,82,70,12,4,4,1,HumpMa00
33,Taron Johnson,BUF,24,DB,16,11,1,51,1,51,7,1,0,0,0,0,1,94,70,24,5,3,,JohnTa01
34,De'Vondre Campbell,ARI,27,LILB,16,16,0,0,0,0,3,1,0,0,0,0,2,99,69,30,7,2,,CampDe00
35,Malcolm Jenkins,NOR,33,SS,16,16,3,58,0,48,10,1,0,1,0,0,2.5,91,69,22,7,6,,JenkMa99
36,Eric Kendricks,MIN,28,MLB,11,11,3,0,0,0,6,,,,,0,0,107,69,38,4,1,,KendEr00
37,Jeremy Chinn,CAR,22,RLB,15,15,1,0,0,0,5,2,0,2,45,2,1,117,68,49,2,5,,ChinJe00
38,Kenny Moore,IND,25,LCB,16,14,4,45,1,29,13,1,0,0,0,0,2,80,68,12,4,3,,MoorKe03
39,Kenneth Murray,LAC,22,RLB,16,16,0,0,0,0,3,,,,,0,1,107,68,39,5,1,,MurrKe00
40,Logan Ryan,NYG,29,FS,16,15,1,15,0,15,9,3,0,2,0,0,1,94,68,26,1,4,,RyanLo00
41,Daniel Sorensen,KAN,30,SS/FS,15,11,3,67,1,50,5,2,0,0,0,0,0,91,68,23,2,4,,SoreDa01
42,Vonn Bell,CIN,26,SS,16,16,0,0,0,0,5,3,0,2,65,0,0,114,67,47,3,4,,BellVo00
43,Kareem Jackson,DEN,32,SS,16,16,1,13,0,13,4,0,0,2,2,0,0,89,67,22,1,0,,JackKa99
44,Josey Jewell,DEN,26,RILB,16,16,0,0,0,0,4,,,,,0,2,113,67,46,5,5,,JeweJo00
45,Danny Trevathan,CHI,30,RILB,16,16,0,0,0,0,5,1,0,0,0,0,1,113,67,46,3,2,,TrevDa00
46,Patrick Queen,BAL,21,LILB,16,16,1,0,0,0,2,2,0,2,53,1,3,106,66,40,9,10,,QueePa00
47,Eric Rowe,MIA,28,FS,16,14,2,26,0,22,11,0,0,1,0,0,0,91,66,25,1,2,,RoweEr00
48,Adrian Amos,GNB,27,SS,16,16,2,47,0,24,9,,,,,0,2,83,65,18,4,3,,AmosAd00
49,Anthony Walker,IND,25,MLB,16,16,1,11,0,11,5,0,0,1,0,0,0,92,65,27,2,1,,WalkAn01
50,Khari Willis,IND,24,SS,14,14,2,93,1,50,6,1,0,0,0,0,2,85,65,20,3,4,,WillKh00
51,Tre Herndon,JAX,24,LCB,16,12,0,0,0,0,5,,,,,0,1,76,64,12,4,2,,HernTr00
52,Shaq Thompson,CAR,26,LLB,16,15,0,0,0,0,5,2,0,1,0,0,0,114,64,50,6,2,,ThomSh01
53,Tracy Walker,DET,25,SS,15,7,0,0,0,0,4,,,,,0,1,87,64,23,5,2,,WalkTr01
54,Antoine Winfield Jr.,TAM,22,SS,16,16,1,16,0,16,6,2,0,1,0,0,3,94,64,30,1,4,,WinfAn00
55,Kamren Curl,WAS,21,SS,16,11,3,88,1,76,4,,,,,0,2,88,63,25,4,5,,CurlKa00
56,Jeff Gladney,MIN,24,RCB,16,15,0,0,0,0,3,1,,,,,0,81,63,18,7,1,,GladJe00
57,Eddie Jackson,CHI,27,FS,16,16,0,0,0,0,5,3,0,1,8,1,0,82,63,19,1,0,,JackEd01
58,Nicholas Morrow,LVR,25,LLB,14,11,1,6,0,6,9,1,0,1,0,0,3,78,62,16,8,6,,MorrNi00
59,Justin Reid,HOU,23,SS,13,13,0,0,0,0,4,,,,,0,2,83,62,21,6,4,,ReidJu00
60,Kenny Vaccaro,TEN,29,SS,13,13,0,0,0,0,5,0,0,1,53,0,1,83,62,21,6,1,,VaccKe00
61,Eric Wilson,MIN,26,RLB,16,15,3,23,0,16,8,1,0,2,7,0,3,122,62,60,8,9,,WilsEr00
62,Jonathan Bostic,WAS,29,MLB,16,15,1,0,0,0,3,,,,,0,3,118,61,57,6,6,,BostJo00
63,Tre Boston,CAR,28,FS,16,16,1,0,0,0,4,1,0,2,0,0,1,95,61,34,3,2,,BostTr00
64,Dre Greenlaw,SFO,23,RLB/LLB,13,11,0,0,0,0,1,,,,,0,1,86,61,25,7,2,,GreeDr00
65,Vernon Hargreaves III,HOU,25,RCB,16,16,1,0,0,0,7,,,,,0,0,72,61,11,1,0,,HargVe00
66,AJ Terrell,ATL,22,LCB,14,14,1,0,0,0,7,3,0,0,0,0,0,74,61,13,3,1,,TerrAJ00
67,Johnathan Abram,LVR,24,SS,13,13,2,29,0,24,6,0,0,1,0,0,0,86,60,26,3,4,,AbraJo01
68,Minkah Fitzpatrick*+,PIT,24,FS,16,16,4,77,1,37,11,1,0,1,-1,0,0,79,60,19,1,0,,FitzMi00
69,Jonathan Jones,NWE,27,DB,16,7,2,0,0,0,6,1,0,0,0,0,0,74,60,14,0,1,,JoneJo03
70,K.J. Wright,SEA,31,ROLB,16,16,1,7,0,7,10,1,0,2,0,0,2,86,60,26,11,3,,WrigK.00
71,Jamal Adams*,SEA,25,SS,12,12,0,0,0,0,3,1,0,0,0,0,9.5,83,59,24,11,14,,AdamJa00
72,Rashaan Evans,TEN,25,LILB,16,16,0,0,0,0,5,0,0,1,25,0,0.5,96,59,37,1,4,,EvanRa01
73,B.J. Goodson,CLE,27,MLB,14,14,2,7,0,7,6,0,0,1,0,0,0.5,91,59,32,2,3,,GoodB.00
74,Josh Jones,JAX,26,SS,13,13,1,0,0,0,1,,,,,0,0,83,59,24,0,0,,JoneJo06
75,Jalen Mills,PHI,26,FS,15,15,1,5,0,5,3,1,0,0,0,0,1.5,74,59,15,4,5,,MillJa02
76,Nasir Adderley,LAC,23,FS,15,14,1,39,0,39,3,0,0,1,1,0,0,69,58,11,0,1,,AddeNa00
77,Anthony Harris,MIN,29,FS,16,16,0,0,0,0,7,,,,,,0,104,58,46,2,0,,HarrAn01
78,Rayshawn Jenkins,LAC,26,SS,15,15,2,23,0,23,4,,,,,0,1,84,58,26,4,1,,JenkRa00
79,Chuck Clark,BAL,25,SS,16,16,1,0,0,0,4,2,1,3,66,1,1.5,96,57,39,3,4,,ClarCh00
80,Bobby Okereke,IND,24,RLB,14,8,1,7,0,7,6,0,0,2,11,0,0,72,57,15,4,1,,OkerBo00
81,Jabrill Peppers,NYG,25,SS,15,14,1,6,0,6,11,1,0,1,0,0,2.5,91,57,34,8,3,,PeppJa00
82,Lonnie Johnson Jr.,HOU,25,DB,16,5,,,0,,,,,,,,0,76,56,20,1,3,,JohnLo01
83,Cory Littleton,LVR,27,RLB,14,14,,,0,,,,,,,,0,82,56,26,4,0,,LittCo01
84,Trayvon Mullen,LVR,23,LCB/RCB,16,16,2,0,0,0,14,,,,,0,0,64,56,8,2,0,,MullTr00
85,Darnell Savage Jr.,GNB,23,FS,15,15,4,13,0,9,12,0,0,1,0,0,1,75,56,19,3,2,,SavaDa00
86,Jamie Collins,DET,31,RLB/MLB,14,14,1,1,0,1,6,3,0,1,0,0,1,101,55,46,6,3,,CollJa00
87,Troy Hill,LAR,29,LCB,16,16,3,119,2,84,10,1,0,2,20,1,0,77,55,22,1,0,,HillTr01
88,Michael Ojemudia,DEN,23,LCB,16,11,0,0,0,0,6,4,,,,,0,62,55,7,1,0,,OjemMi00
89,Germaine Pratt,CIN,24,MLB,16,15,0,0,0,0,2,,,,,,0,89,55,34,5,0,,PratGe00
90,Duron Harmon,DET,29,FS,16,16,2,22,0,21,5,,,,,0,0,73,54,19,0,1,,HarmDu00
91,Terrance Mitchell,CLE,28,RCB,16,16,0,0,0,0,13,3,,,,,0,65,54,11,2,0,,MitcTe00
92,Harrison Smith,MIN,31,SS,16,16,5,33,0,16,10,,,,,0,0.5,89,54,35,2,5,,SmitHa00
93,Josh Bynes,CIN,31,LLB,16,16,0,0,0,0,2,0,0,1,0,0,1,99,53,46,5,2,,ByneJo00
94,Shaquill Griffin,SEA,25,LCB,12,12,3,20,0,16,12,,,,,0,0,63,53,10,2,0,,GrifSh00
95,Lamarcus Joyner,LVR,30,LLB,14,6,0,0,0,0,5,,,,,,0,66,53,13,6,0,,JoynLa00
96,Dre Kirkpatrick,ARI,31,RCB,14,11,3,13,0,13,7,,,,,0,0,56,53,3,0,0,,KirkDr00
97,A.J. Klein,BUF,29,LLB,16,11,0,0,0,0,4,2,0,1,0,0,5,75,53,22,5,9,,KleiAJ00
98,Nick Kwiatkoski,LVR,27,MLB,12,12,1,9,0,9,4,1,0,0,0,0,1,81,53,28,3,2,,KwiaNi00
99,Sean Murphy-Bunting,TAM,23,RCB,16,13,1,0,0,0,3,1,0,1,3,0,0,70,53,17,3,1,,BuntSe00
100,Troy Reeder,LAR,26,LILB,16,7,0,0,0,0,2,,,,,0,3,81,53,28,5,4,,ReedTr01
101,Darius Slay,PHI,29,RCB,15,14,1,25,0,25,6,,,,,0,0,59,53,6,2,0,,SlayDa00
102,Jordan Whitehead,TAM,23,FS,16,16,2,2,0,2,4,1,0,1,0,0,2,74,53,21,9,3,,WhitJo03
103,Carlton Davis,TAM,24,LCB,14,14,4,42,0,34,18,,,,,0,0,68,52,16,3,0,,DaviCa02
104,Kyle Fuller,CHI,28,LCB,16,16,1,5,0,5,8,1,0,0,0,0,0,65,52,13,0,0,,FullKy00
105,C.J. Gardner-Johnson,NOR,23,DB,15,13,1,3,0,3,13,,,,,0,1,66,52,14,5,4,,GardCh00
106,Marshon Lattimore*,NOR,24,RCB,14,14,2,13,0,13,11,,,,,0,0,62,52,10,2,0,,LattMa01
107,Marcus Maye,NYJ,27,FS,16,16,2,0,0,0,11,2,0,1,0,0,2,88,52,36,4,2,,MayeMa00
108,Patrick Peterson,ARI,30,LCB,16,16,3,7,0,7,8,,,,,0,0,61,52,9,0,0,,PetePa00
109,Buster Skrine,CHI,31,DB,12,3,0,0,0,0,3,1,,,,,0,66,52,14,1,0,,SkriBu00
110,Jamel Dean,TAM,24,DB,14,7,1,32,1,32,7,,,,,0,0,62,51,11,2,0,,DeanJa00
111,DeShon Elliott,BAL,23,FS,16,16,0,0,0,0,4,2,0,0,0,0,2.5,80,51,29,3,5,,ElliDe02
112,Isaiah Oliver,ATL,24,RCB,16,12,0,0,0,0,6,1,0,0,0,0,1,70,51,19,4,2,,OlivIs00
113,Andrew Sendejo,CLE,33,FS,14,14,0,0,0,0,2,1,,,,,0,67,51,16,0,0,,SendAn00
114,Blessuan Austin,NYJ,24,RCB,11,10,0,0,0,0,4,1,,,,,0,63,50,13,3,1,,AustBl00
115,Ja'Whaun Bentley,NWE,24,LLB,13,13,0,0,0,0,2,,,,,0,1.5,91,50,41,3,3,,BentJa00
116,Rasul Douglas,CAR,26,RCB,14,11,0,0,0,0,9,,,,,,0,62,50,12,1,0,,DougRa00
117,Jason Verrett,SFO,29,LCB,13,13,2,0,0,0,7,,,,,0,0,60,50,10,2,0,,VerrJa00
118,Kyzir White,LAC,24,LLB,11,10,0,0,0,0,3,,,,,0,0.5,77,50,27,4,3,,WhitKy00
119,Krys Barnes,GNB,22,RILB/LIL,13,10,,,0,,,1,0,0,0,0,1,80,49,31,5,1,,BarnKr00
120,Trevon Diggs,DAL,22,RCB,12,11,3,43,0,33,14,1,0,0,0,0,1,58,49,9,1,0,,DiggTr00
121,Malcolm Smith,CLE,31,LB,15,4,1,2,0,2,2,1,0,0,0,0,1,72,49,23,3,1,,SmitMa02
122,Michael Davis,LAC,25,LCB/RCB,16,14,3,86,1,78,14,,,,,0,0,64,48,16,2,0,,DaviMi03
123,Tashaun Gipson,CHI,30,SS,16,16,2,10,0,9,7,0,0,1,0,0,0,66,48,18,0,0,,GipsTa00
124,Micah Hyde,BUF,30,FS,15,15,1,33,0,33,5,0,1,0,0,0,0,70,48,22,1,0,,HydeMi00
125,Tyrann Mathieu*+,KAN,28,SS/RLB,15,15,6,70,1,25,9,0,0,1,-2,0,0,62,48,14,3,2,,MathTy00
126,Donovan Wilson,DAL,25,SS,14,10,2,5,0,5,3,3,0,2,0,0,3.5,71,48,23,2,3,,WilsDo01
127,Xavier Woods,DAL,25,FS,15,15,0,0,0,0,1,,,,,,0,72,48,24,2,1,,WoodXa00
128,Ugo Amadi,SEA,23,DB,14,5,0,0,0,0,7,1,,,,,0,54,47,7,4,0,,AmadUg00
129,Nevin Lawson,LVR,29,RCB,14,9,0,0,0,0,4,2,0,1,0,0,1,61,47,14,1,1,,LawsNe00
130,Julian Love,NYG,22,DB,16,6,1,13,0,13,3,,,,,0,0,64,47,17,1,0,,LoveJu00
131,Eric Murray,HOU,26,FS,14,14,0,0,0,0,2,1,0,0,0,0,2,71,47,24,2,4,,MurrEr00
132,Vince Williams,PIT,31,RILB,14,14,,,0,,,0,0,2,0,0,3,70,47,23,14,4,,WillVi01
133,Terrell Edmunds,PIT,23,SS,15,12,2,11,0,7,8,,,,,0,1,68,46,22,1,1,,EdmuTe00
134,Karl Joseph,CLE,27,SS,14,8,1,49,0,49,4,0,1,2,0,0,0,67,46,21,2,0,,JoseKa00
135,Christian Kirksey,GNB,28,LILB,11,11,2,18,0,10,4,,,,,0,2,77,46,31,2,2,,KirkCh00
136,Harold Landry,TEN,24,ROLB,16,16,1,0,0,0,5,,,,,0,5.5,69,46,23,10,16,,LandHa00
137,Marcus Peters,BAL,27,RCB,14,14,4,17,0,12,9,4,1,2,-3,0,1,52,46,6,1,1,,PeteMa00
138,D.J. Reed,SEA,24,RCB,10,8,2,21,0,20,7,0,1,2,0,0,0,62,46,16,2,0,,ReedD.00
139,Kyle Van Noy,MIA,29,ROLB/RIL,14,13,0,0,0,0,6,2,0,2,28,0,6,69,46,23,10,10,,VanNKy00
140,Damien Wilson,KAN,27,MLB,13,13,0,0,0,0,1,1,,,,,0,73,46,27,3,0,,WilsDa02
141,Jayon Brown,TEN,25,RILB,10,10,1,0,0,0,8,2,0,0,0,0,1,76,45,31,5,2,,BrowJa06
142,Cole Holcomb,WAS,24,LLB,11,10,1,0,0,0,1,,,,,0,2.5,72,45,27,6,4,,HolcCo00
143,Kevin King,GNB,25,RCB,11,11,0,0,0,0,5,1,0,1,48,0,0,57,45,12,0,1,,KingKe01
144,Devin McCourty,NWE,33,FS,16,16,2,62,1,43,6,,,,,0,0,68,45,23,2,0,,McCoDe99
145,Amani Oruwariye,DET,24,RCB,16,15,1,0,0,0,7,,,,,0,0,53,45,8,1,0,,OruwAm00
146,Jimmie Ward,SFO,29,FS,14,14,0,0,0,0,4,2,,,,,0,73,45,28,0,1,,WardJi01
147,Jarrod Wilson,JAX,26,FS,12,12,1,48,0,48,3,,,,,0,0,69,45,24,2,0,,WilsJa00
148,James Bradberry*,NYG,27,LCB,15,15,3,19,0,19,18,2,0,1,0,0,0,54,44,10,0,0,,BradJa00
149,Joe Haden,PIT,31,LCB,14,14,2,38,1,24,12,,,,,0,0,52,44,8,2,0,,HadeJo99
150,Erik Harris,LVR,30,FS,14,12,0,0,0,0,5,1,,,,,0,61,44,17,1,1,,HarrEr00
151,Anthony Hitchens,KAN,28,LLB,14,14,0,0,0,0,1,,,,,,0,78,44,34,2,4,,HitcAn00
152,Jackrabbit Jenkins,NOR,32,LCB,13,13,3,53,1,36,12,,,,,0,0,55,44,11,2,0,,JenkJa03
153,Micah Kiser,LAR,25,LILB,9,9,0,0,0,0,3,1,,,,,0,77,44,33,0,1,,KiseMi00
154,Tre'Davious White*,BUF,25,LCB/RCB,14,14,3,28,0,28,11,1,0,2,-1,0,1.5,57,44,13,2,3,,WhitTr01
155,Shaquil Barrett,TAM,28,ROLB,15,15,0,0,0,0,3,2,0,0,0,0,8,57,43,14,11,16,1,BarrSh00
156,Ronald Darby,WAS,26,RCB/LCB,16,16,0,0,0,0,16,0,0,1,0,0,0,55,43,12,1,0,,DarbRo00
157,Kyle Dugger,NWE,24,DB,14,7,,,0,,,,,,,0,0,64,43,21,1,0,,DuggKy00
158,Rodney McLeod,PHI,30,SS,13,13,1,21,0,21,7,0,0,2,50,1,0,66,43,23,3,0,,McLeRo00
159,Steven Nelson,PIT,27,RCB,15,15,2,3,0,3,9,0,0,1,0,0,0,48,43,5,2,0,,NelsSt01
160,Haason Reddick,ARI,26,LOLB,16,11,0,0,0,0,4,6,0,0,0,0,12.5,63,43,20,15,16,,ReddHa00
161,Isaiah Simmons,ARI,22,LB,16,7,1,12,0,12,2,1,0,1,0,0,2,54,43,11,4,3,,SimmIs00
162,T.J. Watt*+,PIT,26,LOLB,15,15,1,0,0,0,7,2,0,0,0,0,15,53,43,10,23,41,,WattT.00
163,Quandre Diggs*,SEA,27,FS,16,16,5,57,0,32,10,,,,,0,0,64,42,22,0,0,,DiggQu00
164,Jordan Fuller,LAR,22,SS,12,12,3,45,0,37,5,,,,,0,0,60,42,18,0,0,,FullJo01
165,Mike Hilton,PIT,26,DB,12,6,3,5,0,8,7,1,0,2,22,0,3,51,42,9,8,5,,HiltMi01
166,Brandon Jones,MIA,22,S,16,4,0,0,0,0,1,1,0,0,0,0,1,62,41,21,3,1,,JoneBr06
167,Jayron Kearse,DET,26,SS,11,7,0,0,0,0,2,1,,,,,0,59,41,18,0,1,,KearJa00
168,Jeff Okudah,DET,21,RCB,9,6,1,36,0,36,2,,,,,0,0,47,41,6,4,0,,OkudJe00
169,Sione Takitaki,CLE,25,RLB,15,12,1,50,1,50,1,,,,,0,1,67,41,26,2,2,,TakiSi00
170,Jaire Alexander*,GNB,23,LCB,15,15,1,-4,0,-4,13,1,0,0,0,0,1,51,40,11,2,1,1,AlexJa00
171,Xavien Howard*+,MIA,27,RCB,16,16,10,77,0,29,20,1,0,0,0,0,0,51,40,11,1,0,,HowaXa00
172,Desmond King,2TM,26,DB/RCB,15,8,0,0,0,0,2,0,0,1,63,1,2,55,40,15,2,2,,KingDe01
173,Jourdan Lewis,DAL,25,DB,15,13,0,0,0,0,2,0,0,1,0,0,2,59,40,19,7,1,,LewiJo01
174,Byron Murphy,ARI,22,RCB,15,7,0,0,0,0,8,0,0,2,3,0,2,51,40,11,3,2,,MurpBy00
175,Grover Stewart,IND,27,RDT,16,16,0,0,0,0,1,,,,,0,0.5,53,40,13,6,5,,StewGr00
